trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
84,0,0,1,yes ,yes ,0.99,0.3987338137417662,3.1645729541778564,2.6162519454956055,8,False,3,21
85,1,1,1,yes ,yes ,0.99,0.12906231240396648,3.100924253463745,2.9322919845581055,2,False,3,22
86,0,1,1,yes ,yes ,0.99,0.36250561275071347,2.860260009765625,2.4906108379364014,6,False,3,23
87,0,1,1,yes ,yes ,0.99,0.3234268543961427,2.897274971008301,3.6223490238189697,4,False,3,24
88,0,0,1,yes ,yes ,0.99,0.33841901416572384,3.0500080585479736,5.436068296432495,8,False,3,25
89,0,1,1,yes ,yes ,0.99,0.10761578314609697,3.0770440101623535,3.674262046813965,3,False,3,26
90,0,1,1,yes ,yes ,0.99,0.39439903726007663,3.251842975616455,3.29315185546875,1,False,3,27
91,1,0,1,yes ,yes ,0.27,0.13852470325601732,2.9729809761047363,6.6576080322265625,7,False,3,28
92,1,0,1,yes ,yes ,0.99,0.23533361152835985,3.3027749061584473,8.13606309890747,6,False,3,29
93,0,1,1,yes ,yes ,0.99,0.3172613157920108,3.11059832572937,4.5653533935546875,2,False,3,30
94,0,1,1,yes ,yes ,0.99,0.3645385737187611,3.1414382457733154,3.5487847328186035,8,False,3,31
95,0,1,1,yes ,yes ,0.99,0.1755701025005359,3.0081958770751953,9.219125032424927,4,False,3,32
96,1,1,1,yes ,yes ,0.99,0.161971067151645,3.215162754058838,6.45868706703186,6,False,3,33
97,0,0,0,no ,no ,0.74,0.2518071660539878,3.3007380962371826,4.174818992614746,2,False,3,34
98,1,0,1,yes ,yes ,0.99,0.391430015590707,3.0531458854675293,2.63265323638916,4,False,3,35
99,1,1,1,yes ,yes ,0.99,0.14658916087994173,3.3214480876922607,2.7950778007507324,8,False,3,36
100,1,1,1,yes ,yes ,0.99,0.2558096686674831,3.041390895843506,6.577368974685669,6,False,3,37
101,1,1,3,0,0,0,0,0,10.546461820602417,2,True,3,38
102,0,0,1,yes ,yes ,0.99,0.17754240122353399,3.0550999641418457,4.04574728012085,4,False,3,39
103,1,1,1,yes ,yes ,0.99,0.1900054983083136,3.0881540775299072,5.04123592376709,6,False,3,40
104,0,0,0,no ,no ,0.36,0.18301375987700635,3.123504161834717,3.721418857574463,2,False,3,41
105,0,0,0,no ,no ,0.5,0.21218640822292872,3.206608772277832,2.5572190284729004,8,False,3,42
106,0,1,3,0,0,0,0,0,10.21786379814148,6,True,3,43
107,1,0,1,yes ,yes ,0.99,0.2785152851167665,2.9743380546569824,3.8886470794677734,4,False,4,0
108,0,0,1,yes ,yes ,0.99,0.25307516677761727,3.0111751556396484,3.9023890495300293,8,False,4,1
109,0,0,0,no ,no ,0.4,0.3293199569020281,3.2287328243255615,4.186152935028076,2,False,4,2
110,0,1,1,yes ,yes ,0.99,0.2968254113247008,3.0823187828063965,1.6862142086029053,9,False,4,3
111,1,1,1,yes ,yes ,0.99,0.38254805364450273,3.1199100017547607,2.5699470043182373,1,False,4,4
